b__ROOT__ 0xfeae6981
b__R_inCalfTarget_slot 0xff1bdd1
b__R_KneeTarget_slot 0xdab8292b
b__R_Skirt__ 0x6a4806b5
b__R_ThighTwist__ 0xe723d915
b__R_LegExportPole__ 0xaeeb8fe0
b__R_outThighTarget_slot 0x7507a630
b__R_ThighFrontTarget_slot 0x3444d3bf
b__L_ThighTarget_slot 0xda12aa46
b__R_ThighTarget_slot 0x4a3fca04
b__R_Prop__ 0x29aaa33f
b__L_Prop__ 0x60f8fa81
--WW Bones-- 
b__Penis_Base 0xf46c89f8
b__Penis_Base01 0xce34adb9
b__Penis_Mid 0xef4a5d7
b__Penis_Mid01 0xbf0e2fae
b__Penis_Tip 0x32baf2be
b__Penis_Tip01 0xfd8352f
b__Penis_Tip02 0xfd8352c
b__Penis_Tip03 0xfd8352d
b__Penis_Testicles 0x4f5b3a49
b__Penis_L_Testicle 0x53ec0fd1
b__Penis_R_Testicle 0x53ce9517
b__Tounge__1 0x3c3c743c
b__Tounge__2 0x3c3c743f
b__Tounge__3 0x3c3c743e
b__Tounge__4 0x3c3c7439
